top1,예상질문,통화내용
요금문의,미납 요금 내역에 대해 상세히 안내받을 수 있을까요?,정성을 다하겠습니다 삼천리 도시가스 김희수입니다. 네 수고하십니다. 네 고객님 무엇을 도와드릴까요? 네 요금에 대해서요. 네네. 작년 1월달 요금하고. 네네. 이번달 1월 요금하고 해야해서 용량이. 네네. 작년은 448 그 그게 그 뭐라고 그래? 미터라고 그래? 뭐라고 그래요? 루데요 고객님. 예? 루배. 루배? 예. 근데 올해는. 예. 요금이 1월달에. 고객님 죄송한데요. 주소가 어떻게 되세요? 윤천시 미치홀구. 네. 평확길 76번길에 52-27호 광음사. 주안. 음 주안 팔덕 1292에 48호요. 반도가구세요? 네 광음사요 절이에요. 아 절이세요? 네. 네 주소 확인되셨고 작년 지금 21년 1월 달에는. 네. 지금 291970원 납부하셨고요. 20 가면 집에? 1월 작년에? 네 21년 1월. 1월달에 여기 나온거는 그 곳까지 나오잖아요? 이 영수증에? 네. 예 거기에 작년에 나온거는. 네. 예 이건 12월 분이라고구나 12월 분? 근데 1월 1월 분은 여보세요? 네. 448뭐로 나왔어도 뭐 이 통각 뭘로. 지금 몇월달꺼 보시는거 22년 1월달꺼 보시는거에요? 22년 1월 달꺼는 378에요. 사용량이? 네. 네네. 근데 가스 비가 435960원 나왔어요. 네네. 근데 작년 1월 달 2020일날 1월달에는. 네네. 4448일쯤 될꺼라요? 네네. 근데 작년 1월달 2020일날 1월달에는. 네네. 4448일쯤 되었걸라요? 네네. 근데 그때는 얼마가 나왔어요? 291970원. 그러면은 작년보다 더 이게 가스가 덜 썼다는 거 아니에요. 당가가 올랐어요 고객님. 그러고? 네? 당가가 올랐다고요. 네? 당가가 올랐다고요. 음 잠깐만 그렇게 많이 올랐어요? 지금 297970원 나눠기 사용량 44483원에는. 네. 거의 650원 정도 되세요. 뭐가 650원이에요? 네 당가가. 당가가. 원단 1호 했을때. 예 650원 까지인데. 예. 지금 지금 보면은 378이잖아요. 378이요. 네 그러면은 지금 빼게 하면 거의 1100원 정도 되세요. 그러면 지금은 가스가 그 일자에 1100원치긴 하고. 네네. 그러면은 1100원이 올랐다는 거에요? 작년보다? 650원에서 1100원 1350원 400원 정도 올랐죠. 네 400원까지 올랐다는거 아니에요? 네. 근데 이거 올랐다는 소리는 안하던데? 저 정보에서는? 내가 저 거니까 가스 올라왔다는 건 없나거든요? 아니요 올랐어요. 언제 올린거야 이게? 지금 날짜 옳은 날짜가 거의 잠시만요 20 여보세요? 네 말씀. 네 22년 1월달로 해서요. 1월 1일 날짜로 해서. 오늘 이번달 22년. 22년 1월 1일. 그니깐 2월 1일번호. 네 1월 1일. 22년 2월 1일이요? 아니요 1월 1일으로? 네 1월 1일. 22년 2월 1일로? 아니요 1월 1일. 1월 1일 그러니깐 22년 1월 초승 1일서부터 낼 때는 거 아니잖아요 올라서 하는 거 아니에요. 그렇죠 1월 1일 2월 1일이 아니라 1월 1일. 1월 1일. 네. 근데 제가 다른 사람이 그 가스. 네. 인터넷으로 뭐 지집어보니깐 그렇게 올랐다는 소리는 안하죠 내가. 아 그러세요? 네 내가 그렇게 물어보고 그게 그러면은. 예. 다른 데서 뭐 인터넷으로 뒤집어보니깐은. 네. 가스 요금은 올랐다는 소리는 없다고 그랬는데요. 지금 고객님께서 가정 요금은 아직 안 올랐는데 업무 요금은 올랐어요 1월 1일 날짜로. 이게 업무용이에요 여기가? 네 업무용이에요 관음사. 광음사로요? 네. 근데 업무용이 종교시설인데 무슨 업무야? 네 고객님 여기 업무용으로 되어있습니다. 근데 제가 엊그제 할 때도. 네. 종교시설로 이게 내가 그래서 이렇게 물어보는게 아니라 지금 확정한 상담원한테 제가 물어보는거냐. 네. 종교시설로 이게 내가 네. 그래서 이렇게 물어보는게 이제 그 지금 확시는 상담원으로 이때 제가 물어보는게은. 네. 제가 이게 예 법인체로 등록이 되어있어서. 등록이 종교시설로 되어있어요. 비관되어 있어요. 네. 그러면은 그거를 바꿀수 있냐는건 제가 물어보려는거에요. 종교시설이 거의 업무용이신데요? 가정용은 아니세요 고객님. 근데 종교시설 밖에 여기서 취사는 하잖아요 얘네가 취사도. 네 취소하실 수도 있으시죠 근데 개인 가정용은 아니시잖아요 고객님. 근데 종교시설이라 이거 종교시설 종교시설은 네 정보이체도 계산세가 비가 세에요. 그러면 내가 이게 업무용으로 이거 장산되는건 아니잖아요. 업무용에 들어 그 건물 자체가 업무용으로 되어있어요. 근데 비가스라고요 이거 비가스. 그거하고는 잘 모르겠는데 고객님. 비가스 그 종교시설료장. 네. 그거는 모르고 고객님댁에 그 건물 자체가 지금 주택룡 뭐 업무용 뭐 이렇게 나눠져 있는 거라서 고객님댁에는 업무용으로 되겠어요 고객님. 나누는게 두가지 주택룡 하고 업무용 밖에 안되는거에요? 아니죠 주택룡 업무용 명의부자 뭐 산업룡 여러개가 있죠 고객님. 근데 이게 업무역으로 쓰는거는 내가 여기서 거주를 하고 있는데 밖에 없고 취사하고 그러는데 그냥 업무용으로 업무용이 더 취사해보다도 더 비싸다는 얘기 아니에요? 네 맞으세요 이거는 건물 자체 처음에 도시가스 설비하셔서 들어갔을때 네 건물 자체 업무용으로 해서 고객님댁에 여기가 되시는거에요 고객님 공급자체가요. 그럼 이걸 내가 신청을 해서 업무용이 아니고. 네. 이거 이제 그거에요 종교시설에서 취사도 하잖아요 여기 취사도. 더 손님 등록만 같이 해내기고 다 부르잖아요? 네. 그러면 취사해야 되는 얘기 아니에요? 취사도 하죠 고객님. 음. 네. 이거를 업무용으로 다른 걸로 돌리려면 어떻게 신청을 해야해요? 농도변경으로 하신다고요 고객님? 그렇게 농도 농도변경으로요. 농도변경으로 그러면은 지역본도 한번 여쭤보시겠어요? 전화번호 안내해드릴게요. 네. 번호가 834에. 가만히 있어요. 834에. 3002번 입니다. 3002. 예 예. 예 03이죠? 네네. 네네. 그럼 어머니 올해는 그냥 400만 4400원이 올랐다는 거고요? 네네. 네 알았습니다 아주 고맙습니다. 네. 한번 전화 해볼게요. 네 동번호 상 없으십니까? 네 알았습니다. 네 감사합니다 상담원 윤정이였습니다. 네 좋은 하루 봐주세요. 예. 네. 1월 20일 예약
요금문의,이번에 미납된 3개월 요금에 대한 납부 방법을 알려주시겠어요?,정성을 다하겠습니다 삼천리 도시가스 윤정하입니다. 아 예 가스 여기 밀렸는데 한번 봐주실래요? 주원 4동 424에 55. 424에 55 몇 호 말씀하시는거에요? 101호요. 네 101호 성함이 임자로 시작하시나요 고객님? 예예. 잠시만 기다려주시겠습니까? 예 기다려서 감사드립니다. 네 고객님 여기객님 여기 요금 3개월 요금 확인되십니다 고객님. 아 그게 그래서 문자가 자꾸 오구나. 네 고객님 고객님 전에도 오후에 한번 전화 주셨던걸로 되어있는데 맞으세요? 어 어 왔어요어요 근데 내가 본시권에서 온줄 알고 문자로 왔길래 그 문자로 전화를 해봤거든요? 네네. 근데 본시권이 아닌가 싶어가지고. 아. 다시 전화 내가 했어요. 아예 101호. 네네. 3개월 요금이 미납이세요 고객님. 네 알았습니다. 네 궁금한 사항은 없으십니까? 네. 네. 감사합니다. 안녕히 계십니다.
요금문의,"미납 요금이 자동이체로 처리되지 않았다고 하셨는데, 정확한 미납 금액과 납부 방법을 다시 안내받을 수 있을까요?",정성을 다하겠습니다. 삼천리 도시가스. 네 안녕하세요. 네 안녕하십니까. 제가 지금 2월 20일 1월 1월 20일날 이사했는데. 예. 그때 와서 가스 검침 하고 뭐 그 돈을 얼마만 납부할 건지 뭐 보내준다고 할 거라요? 예. 근데 안 보내주고 지금 와서 그 집권 출금 어떤 날이 왔네요? 아 문자를 받으셨다는 말씀이세요? 네 집권 출소 통지입니다. 라고 지금 왔어요 조금전에. 혹시 주소가 어떻게 되세요 고객님? 전 주소가 아 매세원로 402 대동아파트 2동 602호. 아 예 그럼 제가 금액하고 전용계좌를 다시한번 문자넣어드리고요. 지금 전화주신번호로 발송해드리겠습니다.  아 지금 제꺼 주시는만한 신용도가 있는데  제가 한번 여태까지 살면서 한번 더 자동이체 했다가 이사하면서 자동이체를 해지한건데  이거 뭐 보내준다고 분명히 그 사람이 그랬고 뭐 아 아마 내가 그 1월 12호라고 1월달꺼 해서 보내드릴게요. 그거도 기다리고 있다가  어디가 그 채권주시는만 하면 다른 신용도가 있는건데 이러면 안되지 아이씨 짜증나네 1월 26일날 카카오톡으로 발송되신걸로 확인 되어서 뭐 카카오톡 쪽 다시 한번 조회해보시겠어요? 아니 그니깐 이게 지금 채권 취침으로 해가지고 카카오뱀크 뭐 922 뭐신 온게 있어요. 예. 카카오뱀크 저 계좌번호가 왔는데 지금 오늘 받은데요 이걸 오늘. 아 예 그럼 제가 다시한번. 그거만 채권 지침으로. 문자로 넣어드리겠습니다 고객님. 그거 지금 저거는 카카오뱅크는 아니구요 그거는 얼로 전화 드라는 거예요. 어 카카오뱅크를 넣으셔도 되고요. 제가 농협으로 다시 문자넣어드렸습니까? 예 지금 농협복 하나 왔네요. 예 그쪽으로 입주해주시면 됩니다. 어 저랑 그러면 안되지 신용 신용 문자인데 신용 문자인데 이거 이렇게 되고 착관주시고 신용 이쪽으로 내는데 네 알았어요. 네 감사합니다. 예. 신한연락이었습니다. 네 시스템기.
요금문의,미납된 요금이 있는지 어떻게 확인할 수 있나요?,"정성을 다하겠습니다 삼천리 도시가스 네 고객님. 예 이사 정산 요금 지금 납부 했거든요? 아 혹시 주소가 어떻게 되십니까? 네 그 동일한 테두리 빨리 좀 해주세요. 예예. 삼천리 남부 미초월구 주원 7도. 네. 1338-4. 1338에 4번지. 예 화인메일 402호. 네 전화 주시는 계산 어떻게 되십니까?결을. 네 말씀 감사합니다 잠시만 기다려 주시겠습니까? 네. 기다려주셔서 감사합니다. 네. 납부 잘 되었습니다. 네네네네. 네 그리고 저희가 이제 내일 방문해서 마지막 점검하고 차단할 겁니다. 아 그러면은 오늘 만약에 보일러는 외출 틀어놓으면 문의로 잊자 거는 어떻게 되는 거예요? 혹시 그 이후에 어 누가 쓰실 거예요? 새로 이사놓은 사람 쓰겠지 집이 후에. 일단은 고객님은 1979으로 마무리 되는 거고요. 그번호 또 본인이 명의 등록 하셔야지만 사용하실 수 있습니다. 아 예 좀 찾아놓으면은 그러면 내일 되는 거예요 사람이? 예 그렇습니다 79으로 마무리할 겁니다. 그니깐 오늘 일자 거는 혹시라도 어떻게 되는지. 아 상관없어요. 왜냐면 검침 기준이니깐. 네. 내일 저희가 방문하러 가는데. 아 보일러를 털어놨으니깐 숫자가 올라갈 거잖아요. 79부터. 예. 그렇게. 외출을 해놔야 되는데 보일러 얼리면 안 되니깐 추우니깐. 예예. 외출을 해놔야 되니깐. 아 네 무슨 말씀인지 아는데요. 네네.  일단은 79에서 마무리 될 거예요. 아 이거는 그러면은 그 새로 이사오시는 분이 부가 납부하시는 분은 되겠죠? 네 그렇습니다. 1975 부터 그분은 지나가시는 겁니다. 아 네 고맙습니다. 네 다른 궁금한 사항 없으십니까? 아 예 없습니다. 예 고맙습니다. 예예. 좋은하루 되십시요. 선생님 한가지 궁금한 점 여쭤볼게요. 네네. 계량기가 좀 오래됐는데. 예. 이걸 교체해야지 지금 가스 비가 절관이 돼요? 계량기는 부족상 아니요 그건 아니고 보일러 쪽에서 보일러 쪽에서. 아 보일러 문제요? 예. 너무 많이 나오는 거 무조건 그 가스 벨브 나 계량기 아예 상관없는 거에요? 상관이 없고요. 아 그래요? 계량기는 5년마다 예 무상으로 교체를 하실 것인데 있고 이제 요금 절감은 보일러 쪽에다가 사용법을 먼저 문의해보시고, 예. 연출이 얼마인지 이런 거를 물어보시는 되세요. 아 그 계량기는 5년마다 무상으로 교체해준 거예요? 예 가장은 무상 5년마다. 그니깐 이거 한번 더 교체 안한 거 같던데? 아 바깥에서 하기 때문에 제가 5년마다 하게 됐되 있고요. 아. 17년도에 한번에 없고 21년도에 했어요. 기사님들이. 예 바깥에서 합니다. 저희한테 저희한테 뭐 통보 안해주고 그냥 스스로 다 해주시는거에요? 예 그렇습니다 예. 아 그런거구나 네 알겠습니다 고맙습니다. 다른 문의사항 없으십니까? 예 없습니다. 감사합니다 상담원 양수경였습니다. 예 좋은하루 되세요. 감사합니다."
요금문의,미납 요금이 발생했을 경우 연체 이자나 추가 수수료가 부과되나요?,정성을 다하겠습니다 삼천리 도시가스 윤정입니다. 저 이주소 수납 환불받으라고 문자가 와가지고요. 아예 주소가 어떻게 되십니까? 그 염청구 35 418호요 벨브티온 418호. 아예 성함이 어떻게 되십니까? 대서요 고객님. 아예 지금 이사날짜랑 자동이체일자랑 겹치다보니깐. 네. 이주소 수납이 되신가 같고요 고객님. 아 예 지금 이사 날짜랑 자동이체 날짜랑 겹치다 보니까 네. 이송 수납이 되신 거 같고요 고객님. 네. 어디 은행으로 한번 처리 해드릴까요 고객님? 어 농협 은행이요. 계좌번호 말씀해주시겠습니까? 352. 네에. 0414. 네에. 6138. 네. 932요. 아 예 예금 좀은 대서양 고객님 확인되셨고요. 네. 좀 죄송하지만 저희가 환불도 시간이 정의가 있다 보니까 오늘 6시에서 7시경에 환불도 처리가 될 거고요 고객님. 네. 환불도 될 때 문자 하나 발송 해드리겠습니다. 네. 다른 문의사항 또 있으십니까? 아니요 감사합니다. 감사합니다 수납연장이었습니다.
요금문의,자동이체 실패 후 미납 요금을 해결하기 위한 다른 납부 방법이 있나요?,정성을 다하겠습니다. 삼천리 도시가스 윤정입니다. 네 수고하십니다. 네 감사합니다. 네 이거 비산 3동인데요. 예 어디십니까 비산 3동? 안양 안양. 네네 주소를 말씀해 주시겠습니까? 네 안양시 동안구 비산 3동. 네. 1044에 한일주택 4동 지침 2호. 한일주택 4동이세요? 4? 예예. 박춘님 고객님 맞으십니까? 네네. 예 무엇을 도와드릴까요? 아니 자동이체를 해놨는데. 예. 가스 여기 나간 날짜가 언제에요? 고객님 댁은 11일 날이 납부일입니다. 아 근데 저희들 언제고 11일 날 돈이 나와요.. 그래서 그러면 그때 되면 이거 돈을 안빼간가요? 네 11일 날이 납부일이고 10일 후에 한번 더 재인출이 있기는 합니다. 고객님. 아니 내가 요거 자동이체가 되어있죠 지금? 네 되어있으세요. 그러면 어떻게 해야 된가요? 언제고 언제쯤 11일 날 돈이 나오니까 그러면 그걸 어떻게 해놔야 11일 날 돈 빠져나갑니까? 음 날짜 변경은 안되세요. 아. 그래서 고객님 댁은 2차에도 출금이 안되네요. 어머 그럼 어쩌게요? 그러면 자동이체로 납부하는건 조금 어렵지 않을까요 고객님? 그러면 납부로가 세아든가요 아이씨 노인네가 어떻게 맨날 그렇게 다녀 그럼 그걸 어떻게 벌릴수 없고 10일 아 네 그때 그때일밖에 안된다 예예 그렇습니다 그래 지금 우리 지난달은 안됬죠. 잠시만요 고객님. 네 좀 봐주세요. 그동안에 고객님. 예. 그 에너지 바우처 있잖아요? 예. 네네 에너지 바우처에서 이제 지원을 조금 받아서. 예. 거기서 조금씩 차감을 했거든요? 예예. 예 그래서 자동이체에서는 출금이 안됐었는데. 네. 다 사용하고 지금 1월에 38450원이 미납이 됐고요. 예. 2월이 이번에 이제 10일까지 납부할 요금이 108700원 또 있어요 고객님. 그럼 하체가 얼마요? 지금 총 금액이 14750원을 납부하셔야 돼요. 이걸 갖다가 해야한다고? 근데 여보세요? 네네. 내가 노인 애가 뭐 해서 그걸 가서 우측이 가서 자동이체를 해놨는데 맞는일날로 안되면 그러면 그걸 어떻게 해놔야 11일 날 빠져나가게 할수가 있나요. 음. 말일날. 네. 이체는 입금을 해놓으면. 네. 동랑에 뭐 들었어요 지금. 어 11일 날 출금이 되는데요. 잠시만요. 아 근데 우체구 공객님 저희가 바로 출금을 해드릴수가 없어요. 근데 거기서 자동이체 출금이 되요. 네? 11일 날 출금이 된다고요 고객님. 우체국에서? 네네 그냥 두면. 예. 이제 11일 날 며칠 안 남았잖아요. 예. 예 그날 출금이 됩니다. 그럼 그대로 가서 나도 그래야 되겠네요? 네네 그대로 주시면 돼요. 예 매달 매달 그렇게 좀 해주시거나 못걸어요. 다리 아파가지고. 네네. 부탁드릴게요. 네. 네 잠깐만요. 네. 네. 감사합니다. 상담원 이민정입니다. 네 고맙습니다. 우리는 10일 날인데 빠를날을 해놓으니깐 연체가 되도 맞을 게 없어요.  
요금문의,"미납 요금이 없다고 하셨는데, 혹시 이후에 추가로 미납된 요금이 발생했는지 확인할 수 있을까요?",정성을 다하겠습니다 삼천리 도시가스 현정입니다. 아 저기 제가 납부하면서 받았는데 미납요금이 있어가지고 그거 지금 수납했거든요. 아 네네 납부자 번호 불러봐 주시겠습니까? 잠시만요. 아니면 주소 알려주시겠습니까? 30. 네네. 3050. 3050 네. 27253이요. 27253번이요. 성함 어떻게 되십니까? 이사정산이요. 네 미납없이 다 2월달꺼까지 납부 되셨습니다. 네네. 어떤 내용 보여드리면 되겠습니까? 아 제가 그거 아까전에 그 납부 내역서 2020년 4월부터 지금까지 낸거. 20년 4월부터요. 예예. 팩스로 부탁드렸는데 미납요금 있어가지고 다시 부탁드릴게요. 아 내역서를 잠시만요 제가 좀 찾아볼게요. 2020년 몇월부터요? 4월이요. 4월부터 언제꺼까지 보내드릴까요? 지금까지요 현재까지. 현재 22는 2월꺼까지요? 네네 맞아요. 20년 4월부터 팩스로 보내드릴까요? 네. 네 번호 몇번이십니까? 0504. 0. 504. 0504 네네. 336에. 336에. 60002번이요. 6002번이요. 네. 네 저희가 지금 전송해드렸고요. 네. 네네 확인해 주시기 바랍니다 고객님. 네 알겠습니다. 더 필요한 사항 없으십니까? 네. 감사합니다 상담원 윤정이였습니다.
요금문의,요금 미납 시 어떤 절차로 상담을 진행하면 될까요?,정성을 다하겠습니다. 삼천리 도시가스 정수경입니다. 아 예 요금 미납때문에 전화드렸는데요. 네. 원래 오늘 아침에 내려고 주사 취소 내려고 했는데요. 네. 제가 입장에 틀려서 사마차 거만 먼저 내려고 해요. 혹시 문의하시는 주소가 어떻게 되십니까 고객님? 여기 인산남구 굴주필 94번길 14-1이요. 네 호일스가 네 몇 호십니까 고객님? 201호는 될꺼에요. 아 그러시면 이부분이 고객님 제가 답변을 도와드리기는 어려우시고요. 담당분호가 따로 있으시기 때문에. 네. 연락처를 말씀드리겠습니다만 메모 가능하십니까? 어 바로 연결은 안되나요? 네 죄송합니다만 시스템서 전화를 돌려드리기는 어려우시고요. 혹시 메모가 어려우시면 제가 연락처 문자로 발송해 드리면 되겠습니까? 네 그럼 문자 발송 해주세요. 알겠습니다. 다른 궁금한 사항 있으실까요? 아니요. 네 감사합니다. 상담원 정사랍니다. 
요금문의,"자동이체로 요금이 결제되었다고 했는데, 결제 내역 확인은 어떻게 할 수 있나요?",정성을 다하겠습니다 삼천리 도시가스 김연수입니다. 아 여기 핸드폰에. 네네. 저기 연락드린다고 떠서 전화드렸어요. 핸드폰에 연락드린다고요? 연락드린다고 떠있어요 여기가 저기 삼천리 도시가스에서. 1544 3002번으로 발신번호가 됐나요? 그런거 같은데. 주소가 어떻게 되십니까? 저기 주안 1동 75-68번지 파라다이스요. 네 몇 호십니까? 301호. 오늘 문자 나온거는 없는데 발신번호가 15443002번인가요? 예. 문자 내용이 어떤 내용이십니까? 요금 요금이 그 세입인거 같은데 요금이 미납인가 어떤거지. 고객님께서 금액 지금 2월달 고지서 카톡 알림톡 받으신거 아닙니까? 예. 카톡 받으신거에요 고객님? 네. 고객님께서 2월달 고지 내역 발송해 드린 것 같습니다. 없어요? 2월달 고지서. 예. 166840원짜리 고지서 받으신 거 아니십니까? 자동이체 시키나 모르겠는데요 잘. 그니깐 고객님댁에 지금 오늘 발송된 내용은. 네. 고객님댁에 전화를 드리라고 한게 아니고요. 네. 지금 2월달 고지서 나가는거라서 167840원 카톡 고지서 보내드린거고. 아. 근데 자동이체 되어있는거 확인되셨고. 예 어디로 돼있어요? 카드 자동이체로 되어있습니다. 카드 신용카드요? 네 맞습니다. 아 그럼 나 지금 잘못됐나 싶어서 신용카드 들고 앉아서 그쪽으로 옮기려고 지금 들고 앉았죠 근데 아 자동으로 빠져 나가서 지금 빠져 나간다고 연락이 된 거예요? 2월달꺼? 네 2월달 고지서를 받으셔야지 납부하실 수 있으시니까 2월달에 된 내용 고지서를 발송해드린거밖에 확인 안됩니다 고객님. 아 그러면은 밀린게 없고 거기서 자동으로 카드에서 빼가시는거죠? 네 맞습니다. 아 그럼 나한테 밀려갖고 또 가스 끊을걸 몰라가지고 지금 보셨어요. 네 동의만 못드렸습니까? 예 예예 네 감사합니다 상담원 윤정이였습니다. 예 수고하세요. 네. 예.
요금문의,외출 모드로 설정했는데 예상보다 요금이 많이 나온 이유를 더 자세히 알고 싶습니다.,정성을 다하겠습니다 삼천리 도시가스 이영은승입니다 무엇을 도와드릴까요? 아니요 좀 여쭤볼게요 집에 사람이 안 살고 외출로 해놨는데 가스요금이 8만 넘게 나왔어요. 그 그게 그 사람이 안 살아서 동화될까봐 외출 모드로 해놓으신 거잖아요. 네네. 그러면 그 외출 온도가 몇 도인지 모르겠지만 사람이 안 살면 온기도 없잖아요. 네. 그럼 그 외출 모드 설정한 온도 때문에 보일러가 이제 돌아갔을 거예요. 네. 근데 혹시 지금 주소가 어떻게 되세요? 주소요? 네네. 인천 미천리 도로네. 266번길. 51-5. 51-5. 152이라고 고정자 숫자님 되세요? 네. 아 85330원 저희가 발행이 됐는데. 네네. 아마 그 보일러 설정된 온도가 있어서 돌아간거 같거든요? 온도 설정이 보일러 외출이잖아요. 예예. 어저께 보일러 꺼놓은건 아니잖아요 동파될까봐 들어놓으셨던 온도잖아요. 예예. 그럼 외출 모두 온도가 있어요. 그 아니 그 외출 했는데 온도 따라서 돈이 나가요? 그렇죠 예 만약에 그 외출 온도가 13도잖아요. 네. 그러면은 영하 지금 막 10도 이렇게 되잖아요. 예예. 그럼 영하 10도에서 13도를 맞춰줘야하잖아요 그래야 지금 저 보일러가 틀어지지 않잖아요. 예. 그럼 그 사이 때문에 돌아가는 거예요. 동일하게 이 요금 1월달에 쓴 요금 1월달에 한파도 조금 했었잖아요. 네. 그래서 더 돌아가지 않을까 합니다. 아휴 그래도 너무 많이 나오네. 그러니까 쓰지도 않는데 빨리만 돈 내기는 저도 만 182장에서는 많긴한데 그런 경우에요. 실제로 더 고지하시면서 더 생활하시는 분들은 더 많이 나오기도 하고 요금 때문에. 아 네 알겠습니다. 네 감사합니다 상담원 양수이었습니다.
요금문의,전월 미납 요금이 카드 자동이체로 결제되지 않았던 이유가 무엇인가요?,정성을 다하겠습니다 삼천리 도시가스 상담원 최지영입니다. 네 저 다름이 아니고요. 네. 제가 저기 토구로 저기 하는 거 그걸로 했는데 뭐가 내가 잘 못하나봐요. 죄송합니다 주소가 어떻게 되시나요? 이 경기도 화성시 저기 동탄 원천도 338-10번지. 네 몇 동 몇호십니까? 707동 1203호요. 성함이. 박중순. 지금 현재 계량기 숫자 얼마입니까? 잠깐만요. 예. 470이요. 440? 아니 470. 아 470이요? 네 470까지 대략적인 금액 안내를 해드리겠습니다. 잠시만 기다려 주시겠습니까? 예 고객님 대략적으로 지금 미납이 있어요. 왜요? 19000원 요금 납부 안되어있는데요 카 결제 잠시만요. 자동이체 돼있어서. 그러니까요 잠시만 기다려 주세요. 네. 지난 2월 요금 자동이체가 예금이 아 카드 자동이체를 늦게 신청을 하셔서. 아닌데 이거요 계속 언제부터 했는데 오래됐는데 가지고 자동이체가 예금이 아 카드 자동이체를 늦게 신청을 하셔서. 아닌데 이거요 계속 언제부터 했는데 오래됐는데 가지고 자동이체가 예금이 아 카드 자동이체를 늦게 신청을 하셔서. 아닌데. 이거요 계속 언제부터 했는데 오래됐는데 가지고 자동이체. 잠시만요 잠시만 기다려 죄송합니다. 제가 잘못왔네요 잠시만요. 카드 유효기간이 경가된 카드세요. 뭐야 그럼 어디깔로 되어있어요? 그 저기. cc카드. cc카드 어디꺼에요? 국민꺼에요? 저기 농협꺼에요? 저희는 그냥 뷰시카드만 확인되고 있습니다. 어 근데 그럼 어떻게 알아봐야 되게요? 어디 하오래되가지고 여기 10년월월. 제가 이거는 해지해드릴수가 있거든요. 아 해지해보고 그러면 지금 다시. 신청 도와드릴게요. 아 그러면 되겠다 계좌로 다시 가르쳐드릴게요. 예 해지해드렸습니다 그러시면 통장으로 하시겠습니까? 카드로 하시겠습니까? 아 카드 농협 카드로 해도 되나요? 가능하세요 고객님 카드시면요. 네네네. 고객님 생년월일 어떻게 되십니까? 591227. 예 농협 카드번호 지금 말씀해 주실 수 있으신가요? 네 잠깐만요. 예 기다리겠습니다. 이거 저기에 하면 되죠? 이거 지금 농협카드 내가 쓰고 있는거. 네. 근데 이거는 카드번호가 어디죠? 카드번호 없 그럼 유효기간이 적어되갔지? 어떤 건지 모르겠는데. 그 유효기간 써있는거 있잖아요. 네네. 그거가 많이 남은거 말씀해주시면 되잖아요 그 카드 번호를. 이게 새로 이게 먼저께 54302인데 이게 이게 나중에께 새거 새거 저기 뭐야 팩스가 안 떨어진거 보니까 이게 나중에 온거 같아요. 예. 한번 확인. 네. 불러드려볼까요? 예. 5430. 예. 앞에꺼 쭉 불러주면 되죠? 예. 17 03. 예. 8916. 네. 0417. 예 이요기간 말씀해주시겠습니까? 1126. 예 잠시만 기다려 주시겠습니까? 네. 네 농협카드 확인되었고요. 고객님의 개인정보 접수시 개인정보 보호법에 의거 고객님의 동의를 받도록 되어있습니다. 고객님의 개인정보는 신용카드 자동이체 업무를 여여 쓸 때면 신용카드 세입 이댁 처리 좀 더 동의하십니까? 네. 예 미납되신 19000원 요금 더하기 새로운 요금 같이 해서 고객님 요번에 아까 4701호 말씀해주셨잖아요? 네. 예 그래서 미납되신. 4701호. 네 그러면 17400원 정도 되고요. 네. 예 그래서 여기에다가 19000원을 확인되니까 총 36400원 정도가 이체될 거예요 결제가. 고객님 다른 문의사항은 없으십니까? 네 이거 하면 이제 앞으로 계속 농협보를 나오는거죠? 예 맞습니다. 이 카드에서 빠져나가는거죠? 그렇죠 맞습니다. 아우 이거 카드 여러개 쓰면 안되겠네. 아휴. 헷갈려서. 맞습니다 다른 문의사항 없으십니까? 네 그리고 그러면 전 카드를 버려야 되네 이거 농협가서 확인하고 버려야 되겠어. 아우 맞다맞다. 알았습니다. 좋은하루 되시고요 전 상담원 최지현이었습니다 감사합니다. 네.
